"NC","True_delta","Rej_Rate"
50,-0.0023,0.043
75,-0.0023,0.0355
100,-0.0023,0.036
125,-0.0023,0.037
150,-0.0023,0.0365
175,-0.0023,0.0315
200,-0.0023,0.0345
225,-0.0023,0.033
250,-0.0023,0.038
275,-0.0023,0.036
300,-0.0023,0.034
325,-0.0023,0.0255
350,-0.0023,0.0265
375,-0.0023,0.027
400,-0.0023,0.0365
425,-0.0023,0.0285
450,-0.0023,0.042
475,-0.0023,0.0335
500,-0.0023,0.03
525,-0.0023,0.036
550,-0.0023,0.027
575,-0.0023,0.0205
600,-0.0023,0.033
625,-0.0023,0.02
650,-0.0023,0.025
675,-0.0023,0.029
700,-0.0023,0.025
725,-0.0023,0.029
750,-0.0023,0.0245
